,Date,ORCL,SQ,NVDA
324,2017-03-07,40.188992,16.76,97.692551
325,2017-03-08,40.198425,16.83,97.514465
326,2017-03-09,40.038047999999996,17.07,97.494667
327,2017-03-10,40.264472999999995,16.91,98.06855
328,2017-03-13,40.170132,16.93,100.769562
329,2017-03-14,40.368244,16.77,100.700287
330,2017-03-15,40.613521999999996,16.950001,101.46214300000001
331,2017-03-16,43.141846,17.209999,102.708771
332,2017-03-17,43.075813000000004,17.280001000000002,104.94479399999999
333,2017-03-20,42.670151000000004,17.24,108.288948
334,2017-03-21,42.302227,16.51,104.78649899999999
335,2017-03-22,42.255054,16.41,106.923584
336,2017-03-23,42.405991,16.610001,105.953979
337,2017-03-24,42.122978,16.59,106.329948
338,2017-03-27,42.302227,17.25,107.101685
339,2017-03-28,42.160709000000004,17.23,106.547623
340,2017-03-29,42.00034,17.219998999999998,106.201324
341,2017-03-30,42.151272,17.32,108.23948700000001
342,2017-03-31,42.085236,17.280001000000002,107.77446
343,2017-04-03,42.085236,17.030001000000002,107.230286
344,2017-04-04,42.066376,17.040001,99.710899
345,2017-04-05,41.972027000000004,16.75,98.96887199999999
346,2017-04-06,41.679577,17.0,99.691147
347,2017-04-07,41.783348,16.690001000000002,99.265686
348,2017-04-10,41.688602,16.99,96.732849
349,2017-04-11,41.849674,16.92,97.07911700000001
350,2017-04-12,41.85915,17.299999,96.277725
351,2017-04-13,41.688602,16.92,94.477051
352,2017-04-17,41.963371,17.08,98.177353
353,2017-04-18,42.181286,16.98,98.236717
354,2017-04-19,41.868618,17.200001,98.622589
355,2017-04-20,42.190758,17.709999,100.18581400000001
356,2017-04-21,42.096016,17.49,100.601349
357,2017-04-24,42.484478,17.85,101.857872
358,2017-04-25,42.370785,18.219998999999998,103.628899
359,2017-04-26,42.342346,18.08,102.916542
360,2017-04-27,42.418159,18.23,104.519341
361,2017-04-28,42.598167,18.24,103.193573
362,2017-05-01,42.683445,18.610001,105.508743
