,AMT,AMT,AMT,AMT,AMT,BABA,BABA,BABA,BABA,BABA,BLK,BLK,BLK,BLK,BLK,COST,COST,COST,COST,COST,CRM,CRM,CRM,CRM,CRM,FB,FB,FB,FB,FB,MSFT,MSFT,MSFT,MSFT,MSFT,NFLX,NFLX,NFLX,NFLX,NFLX,NVDA,NVDA,NVDA,NVDA,NVDA,ORCL,ORCL,ORCL,ORCL,ORCL,PFE,PFE,PFE,PFE,PFE,PPG,PPG,PPG,PPG,PPG,SPY,SPY,SPY,SPY,SPY,SQ,SQ,SQ,SQ,SQ,TROW,TROW,TROW,TROW,TROW,UNH,UNH,UNH,UNH,UNH
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
2017-02-07,103.66,103.93,102.91,103.47,937563.0,101.08,101.6,100.5,100.83,4660431,377.63,379.0,376.52,376.73,405952.0,167.53,168.08,166.53,167.5,1959643,80.28,80.53,79.54,80.19,2834885,132.24,133.0,131.661,131.83,12736587,63.71,63.8,63.23,63.42,15715409,141.49,144.28,141.05,143.99,7185979,118.7,120.92,117.9,119.13,16429185,40.16,40.3,40.04,40.08,7692956,32.32,32.35,31.94,32.07,17134123,100.04,100.82,99.77,100.01,809078.0,229.38,229.6556,228.72,228.97,36962146,14.38,14.5,14.26,14.395,2321181,67.56,67.84,67.18,67.54,1129848,161.05,161.68,159.54,160.48,2166381.0
2017-02-08,103.57,104.43,103.36,104.29,905349.0,101.55,103.99,101.16,103.56,8725237,375.08,376.255,373.6204,374.4,304681.0,167.5,168.57,167.5,168.42,1641770,80.0,80.83,79.63,80.7,2052055,132.76,134.44,132.44,134.2,18889637,63.56,63.81,63.22,63.33,14227027,143.65,145.07,142.56,144.74,5990180,118.4,119.31,116.38,118.63,9713255,40.06,40.35,40.01,40.02,6337655,31.92,32.345,31.92,32.14,16682496,100.08,100.27,99.57,100.11,778735.0,228.61,229.39,228.31,229.26,37783000,14.44,14.555,14.35,14.47,2483776,67.5,67.89,67.32,67.57,1548660,160.0,160.63,159.41,160.31,1708793.0
2017-02-09,104.2,106.0,103.47,105.77,1928577.0,103.32,104.18,102.56,103.3301,7004662,376.48,379.9222,375.25,378.42,347697.0,168.51,171.415,168.17,170.97,1962338,80.5,81.98,80.49,81.03,4481203,134.53,134.53,133.31,134.13,12956661,63.52,64.435,63.32,64.05,19086876,144.98,145.09,143.58,144.14,3879910,118.86,119.06,115.6,116.45,14877716,40.09,40.45,40.05,40.22,7291049,32.26,32.54,32.23,32.37,15808260,100.19,100.4805,99.79,100.12,526868.0,229.56,230.95,229.52,230.57,45466326,14.5,14.745,14.47,14.73,2397944,68.03,68.679,67.58,68.45,1279203,160.34,161.3,159.56,160.45,2263705.0
2017-02-10,105.5,105.76,104.73,105.51,855466.0,103.88,103.94,102.31,102.36,6363762,380.19,383.94,379.85,383.06,408749.0,171.65,172.27,170.27,172.0,1432316,81.41,82.0,80.54,80.63,2564519,134.1,134.94,133.68,134.19,12260840,64.25,64.3,63.975,64.0,14569167,144.68,145.2992,143.97,144.82,5000284,119.94,120.7,112.6,113.63,36311378,40.33,40.92,40.21,40.8,11064281,32.41,32.45,32.23,32.34,14295053,100.2,100.95,100.02,100.54,773408.0,231.02,231.77,230.88,231.48,44461282,14.74,14.74,14.53,14.61,2022945,68.63,69.4,68.5,69.4,1691340,160.12,161.59,160.12,160.78,1410994.0
2017-02-13,105.69,107.68,105.6,107.56,1497387.0,102.82,104.44,102.62,103.1,7439708,384.74,387.28,383.3448,385.87,312472.0,172.49,172.49,170.78,171.96,1649503,81.18,81.3,80.461,80.91,3104421,134.65,134.6975,133.7,134.04,11527752,64.24,64.86,64.13,64.71,16969627,145.19,145.95,143.05,143.2,4081981,113.39,113.98,108.2,108.37,26309865,40.89,41.19,40.8,41.1,11020969,32.44,32.69,32.44,32.6,15586430,100.93,101.25,100.64,100.81,768152.0,232.08,233.07,232.05,232.73,42341887,14.65,15.04,14.45,14.495,6937714,69.71,69.9966,69.01,69.82,1609831,160.59,162.02,160.59,161.945,2422555.0
2017-02-14,107.64,107.64,105.82,106.77,1187758.0,103.14,103.6,100.896,101.56,9099359,385.8,386.51,383.26,384.96,413472.0,171.66,173.64,171.55,173.63,1579403,80.95,81.3,80.56,80.93,2860090,134.21,134.23,132.55,133.85,12304630,64.55,64.72,64.02,64.57,15711785,143.2,144.11,140.05,140.79,7292695,107.99,110.15,106.29,108.78,18908464,40.92,41.17,40.75,41.1,8016651,32.53,32.77,32.35,32.75,17457899,100.91,101.75,100.47,101.55,1252098.0,232.56,233.71,232.16,233.71,50850084,14.47,14.52,14.03,14.34,5638812,69.65,70.08,69.44,69.85,1115768,161.45,163.5,161.25,163.12,2317066.0
2017-02-15,107.09,107.37,106.01,107.12,932036.0,102.06,102.13,100.11,101.56,11065938,385.29,393.72,385.29,393.3,463620.0,173.18,174.65,165.09,165.76,1668413,81.24,82.83,80.89,81.695,4699749,133.45,133.7,132.66,133.43,11000372,64.49,64.57,64.155,64.53,12789958,140.72,142.43,140.51,142.27,4629460,108.9,109.8,107.76,108.98,8105233,40.96,41.48,40.89,41.42,7037644,32.78,33.58,32.685,33.49,37598164,101.0,101.67,100.911,101.51,591938.0,233.45,235.14,233.39,234.87,61469145,14.31,14.41,14.21,14.31,3899137,69.91,71.6522,69.7,71.55,1770902,162.58,164.89,162.58,164.25,3587777.0
2017-02-16,106.95,107.97,106.85,107.71,981702.0,101.92,102.1,100.73,100.79,5923182,392.63,393.8399,389.93,392.05,362770.0,165.85,175.83,165.76,175.75,1672949,81.55,81.715,80.5,80.81,4688573,133.06,133.87,133.022,133.8,10954704,64.74,65.24,64.44,64.51,17220971,142.42,142.44,141.07,142.01,2342755,109.39,109.41,105.66,107.24,14056469,41.46,41.735,41.365,41.58,8614119,33.45,33.885,33.22,33.62,28652535,101.8,101.99,100.99,101.77,666373.0,234.96,235.155,233.85,234.73,66786200,14.3,14.35,13.84,13.9,5431752,71.0,71.785,71.0,71.32,1089977,164.78,164.97,162.33,163.65,2536983.0
2017-02-17,107.89,109.8,107.66,108.1,3458990.0,100.69,101.73,100.3,100.49,6595456,389.76,390.6899,388.01,388.38,380262.0,175.47,176.5,166.42,166.57,1772171,80.57,81.46,80.25,81.43,2993785,133.5,134.0912,133.17,133.52,9675923,64.46,64.69,64.3,64.61,14864868,141.75,142.9,141.27,142.23,3117630,106.7,107.41,104.79,107.23,12195595,41.54,42.05,41.5,42.04,13351699,33.59,33.89,33.53,33.62,21999082,101.71,102.35,100.74,102.34,1002595.0,233.95,235.07,233.93,235.06,48329777,14.02,14.6,13.99,14.465,7349230,70.75,71.11,70.31,71.1,968697,158.97,160.16,156.49,157.55,9321992.0
2017-02-21,108.11,111.22,108.02,111.15,2428765.0,101.03,102.54,100.91,102.14,7250650,390.94,392.83,388.981,389.9,282196.0,167.23,177.0,166.7,176.94,1340711,81.68,82.42,81.291,82.17,3414198,133.51,133.91,132.9,133.72,12010535,64.64,64.95,64.45,64.46,14724145,142.93,143.38,141.81,142.61,2862803,108.2,111.23,108.2,111.07,11502846,41.99,42.38,41.93,42.26,10277216,33.571,33.8,33.48,33.61,17850942,102.5,103.13,102.35,102.97,1327807.0,235.52,236.69,235.51,236.45,52838456,14.63,14.66,14.34,14.64,5757802,71.43,71.65,70.9,71.2,1020275,157.62,160.815,157.52,160.49,3933324.0
2017-02-22,111.36,111.83,110.6,111.0,1629680.0,102.48,105.2,102.42,104.2299,13787572,389.04,390.95,387.79,390.62,282475.0,177.07,177.09,175.07,176.51,1366557,82.0,82.39,81.71,82.06,2180937,133.6,136.79,133.46,136.1,24032187,64.35,64.39,64.05,64.36,15214027,142.92,144.0,142.17,143.86,2679405,111.42,111.8,109.99,110.76,9143545,42.26,42.52,42.13,42.5,9275132,33.57,33.75,33.25,33.58,19387611,102.4,103.34,102.32,102.81,1607930.0,236.02,236.54,235.83,236.3,39266269,14.75,15.215,14.6,15.03,10536133,70.81,71.48,70.81,71.47,935120,160.91,161.78,159.64,160.51,2088904.0
2017-02-23,111.17,112.25,111.14,112.19,1573039.0,104.72,104.86,101.82,102.4122,8499955,391.47,391.765,388.0,390.52,269745.0,176.52,177.04,175.21,175.85,1808436,82.33,83.125,81.825,82.035,4968223,135.89,136.12,134.33,135.35,15495142,64.42,64.7285,64.195,64.62,16672741,144.45,144.49,141.5196,142.77,3795490,105.5,106.39,99.68,100.48,35776214,42.56,42.99,42.5,42.96,13484156,33.7,34.12,33.58,34.055,22731768,102.8,103.23,102.19,102.59,1109491.0,236.88,236.9,235.56,236.45,62429211,16.67,17.75,16.32,17.15,41691678,71.65,71.97,71.43,71.96,1313013,161.33,162.58,160.6901,162.54,1778626.0
2017-02-24,112.07,113.21,111.77,112.8,1790898.0,101.39,103.0,101.3,102.93,6165512,387.68,389.1254,385.725,389.08,283184.0,175.22,177.71,175.12,177.56,1195968,81.41,81.82,80.97,81.76,3904997,134.16,135.62,134.16,135.4,10446094,64.49,64.8,64.135,64.62,17545357,141.88,143.56,141.55,143.22,2700035,97.07,102.0,95.7,101.3925,21752926,42.74,43.19,42.68,43.16,9975096,34.17,34.35,33.99,34.2499,20622215,102.13,103.365,101.93,103.31,1039421.0,235.46,236.7932,235.41,236.78,57964755,16.95,17.63,16.9,17.435,15415556,71.56,71.965,71.24,71.95,695478,162.67,163.09,161.74,163.03,2028547.0
2017-02-27,114.01,114.86,112.79,113.29,2074957.0,102.5,103.825,102.2201,103.61,5928454,389.55,391.3728,388.22,391.04,260731.0,177.33,177.85,176.55,177.61,1294684,81.63,81.92,80.9,81.54,2664845,135.26,137.1846,135.02,136.41,11923606,64.54,64.54,64.045,64.22,13531600,143.12,143.92,142.38,143.4,2428837,102.1,105.02,101.56,104.41,15225483,43.26,43.26,42.52,42.72,10818147,34.23,34.46,34.16,34.29,17031128,103.08,103.4,102.26,102.45,908819.0,236.63,237.31,236.35,237.13,41659147,17.42,18.17,17.31,17.935,12097604,71.95,72.505,71.865,72.08,840375,163.16,165.46,162.81,165.37,3192126.0
2017-02-28,113.14,115.69,113.09,114.765,2188123.0,103.89,103.99,102.03,102.82,6251443,389.04,391.08,386.92,387.52,505551.0,176.95,177.87,175.48,177.18,1913871,81.5,81.83,80.6881,81.38,7332138,136.79,136.805,134.75,135.5418,12730924,64.08,64.2,63.76,63.98,17245026,143.3,143.57,141.85,142.13,3054547,104.8,105.2,100.775,101.48,12808090,42.62,42.745,42.42,42.59,9267579,34.1,34.264,33.91,34.11,21212368,102.32,102.76,101.96,102.43,821625.0,236.67,236.95,236.015,236.51,59059431,17.79,17.79,17.27,17.32,11450186,71.89,72.3,70.77,71.21,1990045,165.47,166.76,164.9,165.42,2899116.0
2017-03-01,114.78,114.87,113.08,113.86,2145910.0,103.73,104.99,103.21,104.05,9184856,394.0,399.17,392.79,398.019,516326.0,177.37,178.71,177.22,177.85,1706352,82.82,84.4,82.11,83.83,12215258,136.49,137.48,136.3,137.39,13660148,64.16,64.99,64.0218,64.93,20817697,142.84,143.26,142.1,142.62,3433435,103.79,104.37,101.11,102.78,10662408,42.77,43.0,42.69,42.92,9580920,34.27,34.53,34.05,34.41,24871257,103.45,103.82,103.05,103.28,1270624.0,238.38,240.32,238.37,239.75,79898964,17.53,17.64,17.06,17.21,11029323,72.0,72.658,71.63,72.53,1853318,166.72,168.6,166.35,167.93,2550159.0
2017-03-02,113.81,115.24,112.96,114.79,2107666.0,103.8,104.58,102.77,103.1779,6250075,395.15,395.9899,391.42,391.53,296429.0,177.5,177.75,167.89,168.58,2105547,83.56,83.7,82.35,82.65,5176557,137.09,137.82,136.31,136.75,9785552,64.69,64.75,63.88,64.0,20858111,142.15,142.7,139.09,139.52,5177482,102.27,102.84,98.89,99.0,15729890,42.83,42.93,42.63,42.88,7589452,34.46,34.75,34.42,34.49,21150930,103.3,103.3,102.3,102.35,1135655.0,239.56,239.57,238.21,238.33,55176061,17.2,17.35,16.98,16.99,6435629,72.55,72.6,71.71,71.71,1128847,168.32,168.43,166.96,167.25,1269643.0
2017-03-03,114.58,115.76,114.35,115.64,1004049.0,102.99,103.34,102.44,103.29,5173189,392.03,393.089,389.42,390.01,228424.0,170.79,171.89,169.9,170.26,8959515,82.0,82.59,81.65,82.21,5376885,136.63,137.33,136.08,137.12,9205129,63.99,64.28,63.62,64.23,14855220,139.69,140.91,138.26,139.14,4758103,98.57,98.77,96.22,98.43,19329753,42.77,42.885,42.59,42.675,7831699,34.42,34.6464,34.36,34.5,14657265,102.43,103.17,101.68,102.06,830630.0,238.17,238.61,237.73,238.48,45071424,16.83,17.2,16.57,16.8881,12004779,71.83,72.3014,71.01,71.32,1210883,167.37,168.45,166.62,168.18,1634466.0
2017-03-06,115.38,115.53,114.28,114.75,1346299.0,102.76,103.25,102.1,102.31,4598078,387.72,388.94,385.76,387.69,237192.0,169.41,170.33,166.11,166.74,4646226,81.76,82.72,81.62,82.49,4183780,136.88,137.83,136.51,137.42,9638987,64.0,64.56,63.81,64.27,13531755,140.87,142.84,140.54,141.94,6069617,97.13,98.1,95.17,97.66,20348205,42.46,42.735,42.3,42.58,6606188,34.33,34.47,34.08,34.35,14951655,101.95,101.96,100.96,101.19,707524.0,237.5,238.12,237.01,237.76,38523724,16.91,17.155,16.71,16.85,5037500,71.09,71.57,70.78,71.07,766675,167.43,169.35,167.13,168.71,1732918.0
2017-03-07,114.33,115.24,113.93,114.7,1888820.0,102.3,103.3078,102.11,102.65,4042320,387.06,387.65,384.2,385.27,241625.0,166.54,168.62,157.93,158.18,2214163,83.36,84.39,82.81,82.99,4660498,137.11,138.37,136.99,137.26,11449003,64.2,64.775,64.19,64.4,14263527,141.99,142.4,140.38,141.42,3281071,97.67,99.53,97.15,98.73,13515150,42.58,42.75,42.52,42.585,7452808,33.87,34.2,33.75,33.98,22721146,101.14,101.245,100.67,100.77,857013.0,237.35,237.77,236.76,237.05,39725885,16.9,16.9,16.5,16.76,4789573,71.05,71.25,70.71,70.9,633356,168.45,169.36,167.93,168.25,1872871.0
2017-03-08,114.09,114.7,113.17,113.25,1520718.0,102.63,104.29,102.54,103.23,6246608,386.21,389.03,384.37,384.5,274352.0,158.19,167.035,157.52,166.23,1831610,82.96,83.84,82.9364,83.47,3179854,137.15,137.99,137.0516,137.72,8416101,64.26,65.085,64.25,64.99,16415680,141.47,142.06,139.7704,140.32,3510588,100.7,101.3,98.47,98.55,13962219,42.68,42.79,42.51,42.62,7505659,33.91,34.1,33.72,33.9,19532252,100.64,113.49,100.34,106.84,11527441.0,237.32,237.64,236.4,236.59,54522947,16.76,17.0,16.7,16.83,3115626,71.25,71.92,71.21,71.3,674955,167.61,168.46,166.8,167.89,1359335.0
2017-03-09,113.42,113.7,112.78,112.97,1572490.0,102.97,103.75,102.76,103.2202,3633500,385.32,386.96,381.93,384.37,260938.0,166.4,166.79,165.12,165.77,1509568,83.19,83.58,82.81,83.3,2809335,137.72,138.57,137.4,138.25,11835399,65.19,65.2,64.48,64.74,15773803,140.04,141.24,139.74,140.53,2221917,97.94,99.45,97.4,98.54,9948765,42.63,42.63,42.25,42.4499,8896022,33.88,34.14,33.78,34.06,15926884,106.0,106.0,101.4201,102.93,5120015.0,236.68,237.24,235.74,236.82,58591980,16.85,17.205,16.7,17.07,5184860,71.59,71.79,70.645,70.73,1361338,168.15,169.07,167.74,168.09,1777592.0
2017-03-10,113.83,114.2,113.11,113.62,1132263.0,103.43,103.7,102.63,103.39,3557441,387.33,387.99,383.8601,384.68,302201.0,166.49,166.5,164.98,165.35,1225978,83.56,83.95,83.24,83.52,3343128,138.91,139.49,138.22,138.82,12965762,65.1,65.26,64.75,64.95,15541488,141.32,141.8,140.28,140.89,2556833,99.64,100.09,98.38,99.1,10612343,42.62,42.69,42.35,42.69,10027635,34.14,34.32,34.0,34.13,15876927,103.94,104.52,101.94,102.1,2564777.0,237.97,238.02,236.59,237.64,57074557,17.14,17.18,16.83,16.91,4629919,71.22,71.56,70.99,71.35,909895,168.42,170.0,168.06,170.0,2622322.0
2017-03-13,113.7,114.52,113.21,114.27,1056122.0,103.52,106.25,103.47,105.16,13677387,385.62,386.13,383.1102,384.93,220425.0,164.85,165.1053,164.3,164.54,1515867,83.47,83.74,83.08,83.61,2705180,138.69,139.68,138.6729,139.59,8790127,65.01,65.195,64.57,64.71,12765595,140.9,143.71,140.321,143.53,4162331,99.54,102.25,99.54,101.85,16916509,42.75,42.78,42.525,42.58,9344356,34.14,34.15,33.91,34.12,14844134,102.26,102.73,101.591,102.67,1119531.0,237.62,237.86,237.24,237.76,38721556,16.91,17.0916,16.83,16.92,3282274,71.35,72.08,71.23,71.9,850126,169.99,170.93,169.55,170.23,2093313.0
2017-03-14,113.9,114.73,113.66,114.02,1029860.0,104.63,106.0,103.8221,104.21,6661151,383.19,386.09,381.34,383.28,230512.0,164.21,165.32,164.1,165.24,1244382,83.42,83.62,82.73,83.51,2439967,139.42,139.46,138.52,139.32,10910042,64.53,64.55,64.15,64.39,10680941,142.95,143.31,141.7,143.19,3688797,102.32,102.75,100.47,101.75,11286896,42.58,42.84,42.405,42.78,8539860,34.02,34.33,33.98,34.215,12166059,102.47,102.47,101.4501,101.74,791935.0,237.2,237.24,236.19,236.93,45447851,16.95,16.95,16.64,16.775,3358732,71.01,71.45,70.69,71.18,961946,169.66,170.18,168.5,169.06,1550549.0
2017-03-15,114.13,116.05,113.95,115.28,1617074.0,104.37,104.49,102.6,103.66,9784272,385.4,388.972,383.91,388.24,283569.0,165.57,166.54,164.83,166.53,1516509,83.56,83.77,82.995,83.49,2435250,139.27,140.0,138.49,139.7,16134406,64.5,64.92,64.25,64.73,14088987,144.2,145.52,143.23,145.26,4735442,102.23,102.99,100.32,102.55,13566086,42.9,43.2,42.64,43.04,13839561,34.22,34.7,34.18,34.62,17768749,102.29,104.41,102.19,104.03,1350471.0,237.56,239.44,237.29,238.89,68203425,16.8,17.0,16.74,16.965,3976748,71.39,71.98,71.27,71.75,1202121,169.36,171.97,169.29,171.75,2057126.0
2017-03-16,115.72,115.99,114.77,115.09,1363856.0,105.25,105.65,104.301,105.65,10385989,389.11,392.12,387.25,390.07,372307.0,166.78,167.67,157.85,158.24,2132217,83.95,84.0,83.27,83.51,2968199,140.2,140.25,139.73,139.99,11705787,64.75,64.76,64.3,64.64,17178605,145.5,146.5,144.22,144.37,4176231,102.98,103.83,102.41,103.81,11723898,46.39,46.99,45.65,45.76,59121993,34.58,34.63,34.25,34.42,17018541,104.65,104.65,103.02,103.55,953138.0,239.11,239.2,238.1,238.52,52393139,17.0,17.28,17.0,17.22,8066035,71.96,72.42,71.81,71.94,1137029,171.32,172.14,170.22,171.29,2200614.0
2017-03-17,115.36,116.28,115.07,115.93,1885204.0,105.11,106.5,104.86,105.6,7189673,391.23,391.23,382.62,382.67,405537.0,159.05,168.35,158.29,167.76,2326727,83.94,83.98,83.02,83.02,4002624,140.21,140.34,139.7,139.77,13138522,64.87,65.24,64.68,64.85,34569346,144.03,145.76,143.4,145.09,4680654,104.42,106.12,103.81,106.1,17456475,45.25,45.98,45.11,45.64,26690205,34.46,34.58,34.27,34.31,20624004,104.39,105.0,103.38,104.48,1593515.0,237.75,237.97,237.07,237.08,50206841,17.18,17.34,17.06,17.285,4705226,71.31,71.5,69.33,69.36,2268035,171.09,171.54,169.59,169.7,4302372.0
2017-03-20,116.03,116.86,115.74,115.98,1428305.0,106.18,108.2,105.94,107.27,10645849,382.12,382.44,378.87,380.22,297037.0,167.76,168.29,166.8,167.43,977615,83.06,83.63,82.81,82.91,2628669,139.71,140.19,139.25,139.94,8866653,64.91,65.175,64.72,64.93,10023933,145.45,146.25,144.58,145.8,2854773,106.78,109.61,106.13,109.45,16911322,45.67,45.95,45.16,45.235,18827905,34.4,34.4999,34.32,34.365,13972649,104.23,105.72,102.36,105.58,1562013.0,237.03,237.36,236.32,236.74,37732815,17.28,17.37,17.1701,17.25,2697846,69.36,69.6,68.8075,69.265,1102583,169.93,170.24,167.92,168.02,2492118.0
2017-03-21,116.55,118.5399,116.32,116.73,2308995.0,108.46,108.7,104.7,105.1,12078563,381.13,383.12,374.09,375.16,389079.0,167.51,168.8,158.01,166.78,1606690,83.0,83.18,81.37,81.555,3082835,141.15,142.3082,138.4,138.515,25600943,65.19,65.5,64.13,64.21,21579747,146.45,147.7,142.1,142.39,6394650,108.75,109.96,105.585,105.91,20151118,45.31,45.4,44.71,44.83,20046453,34.48,34.61,34.18,34.25,27057945,105.39,106.24,104.43,104.51,1677266.0,237.47,237.61,233.58,233.78,102898817,17.25,17.28,16.4,16.515,5973708,69.73,69.76,68.01,68.6,1604375,168.67,168.82,167.06,167.7,3926780.0
2017-03-22,117.42,118.6,116.79,118.3,2319559.0,104.61,106.12,103.98,106.05,6190574,373.58,376.21,372.0,375.49,230865.0,167.32,167.97,167.04,167.68,1071514,81.69,81.97,81.14,81.88,2665535,137.93,139.79,137.6,139.58,14838647,64.23,65.14,64.12,65.05,15890185,142.545,143.8,140.76,142.66,5545233,105.57,108.26,105.3,108.07,13820200,45.13,45.45,44.63,44.78,12174928,34.3,34.54,33.99,34.465,22168178,104.4,104.4,102.64,104.24,1705311.0,233.77,234.61,233.05,234.27,70252351,16.44,16.565,16.11,16.4,4529862,68.4,68.91,67.87,68.77,1414355,168.13,168.38,165.63,167.03,2305737.0
2017-03-23,118.43,119.5,118.07,118.94,2068602.0,106.95,108.83,106.44,108.27,11766812,374.5,379.3225,374.5,375.49,307754.0,168.0,168.42,166.43,166.91,942479,82.0,82.4,81.46,81.52,2411455,139.48,140.39,139.09,139.55,10223169,64.94,65.235,64.765,64.87,15290037,142.14,142.89,141.26,141.83,2752976,107.8,108.5572,106.7,107.1,11361790,44.68,45.06,44.67,44.95,13708371,34.32,34.56,34.23,34.29,17292063,103.93,105.46,103.5,104.64,1480585.0,233.99,235.34,233.6,234.01,76534784,16.4,17.03,16.4,16.61,5593645,68.71,69.29,68.14,68.2,1201014,166.23,166.93,164.77,165.335,2814333.0
2017-03-24,119.19,119.76,118.88,119.36,1816749.0,108.4,109.13,107.23,108.01,6301244,376.77,377.989,372.23,374.62,193456.0,167.37,167.4609,165.66,166.02,960100,81.88,82.25,81.29,81.62,3079032,140.08,141.0244,139.76,140.36,14434935,65.17,65.45,64.76,64.99,18510319,142.28,142.8,141.58,142.01,2879997,108.99,109.29,106.42,107.47,9238961,44.92,45.09,44.575,44.66,10734405,34.27,34.3,33.94,34.01,22708050,104.5,104.87,103.56,103.8,943436.0,234.38,235.04,232.96,233.9,82201507,16.75,16.94,16.47,16.59,3603277,68.42,68.56,67.59,67.83,943482,166.2,167.4,164.35,165.12,3533061.0
2017-03-27,118.72,120.25,118.55,119.95,1862383.0,106.78,108.19,106.51,108.02,5762265,369.26,375.05,368.0,375.01,421839.0,165.53,166.32,165.32,166.16,842686,81.0,81.79,80.5,81.61,2907782,139.05,140.65,138.77,140.32,10398869,64.63,65.22,64.35,65.1,13401435,140.83,144.39,140.0,144.08,4046926,105.58,108.405,103.575,108.24,11016577,44.51,44.93,44.36,44.84,7605506,33.74,34.31,33.74,34.19,15284616,102.76,104.01,102.2,103.82,1214242.0,231.93,233.92,231.61,233.58,67180329,16.38,17.27,16.22,17.26,6307123,67.17,67.94,66.7,67.64,888280,163.92,165.11,163.31,164.6,3131091.0
2017-03-28,119.84,120.72,119.52,120.4,1689235.0,108.19,108.95,107.4601,107.8,5630530,373.78,381.89,373.61,380.66,367220.0,166.11,167.05,165.15,166.78,862746,81.48,82.35,81.3,82.13,2698026,140.37,141.95,140.01,141.76,12486544,64.96,65.47,64.65,65.29,15775649,144.1,146.11,143.92,145.17,3744299,108.32,108.89,107.27,107.7,9222816,44.83,45.03,44.66,44.7,10429498,34.06,34.26,33.97,34.17,14659226,103.85,105.3,103.57,104.97,799276.0,233.27,235.81,233.14,235.27,64554450,17.38,17.5,16.92,17.22,5902563,67.49,68.792,67.32,68.39,1638357,164.58,166.07,163.84,165.49,4430456.0
2017-03-29,120.19,121.33,120.16,121.06,1627766.0,107.97,109.74,107.69,109.51,7387512,380.49,380.92,377.585,379.41,329158.0,166.28,167.48,166.15,167.44,829233,82.04,82.44,81.66,82.38,2041353,141.99,142.86,141.43,142.69,12897911,65.12,65.5,64.9475,65.48,11090707,145.5,147.18,144.9089,146.46,3049517,107.99,108.49,107.25,107.32,7076497,44.52,44.73,44.47,44.53,9410070,34.16,34.45,34.11,34.34,15161369,104.89,105.95,104.545,105.76,872646.0,235.01,235.81,234.725,235.59,40664024,17.22,17.59,17.19,17.225,4931575,68.07,68.27,67.37,67.91,1438428,164.66,164.97,162.74,163.49,4633854.0
2017-03-30,120.78,121.09,120.17,120.91,1458450.0,109.73,110.45,108.66,108.84,9000145,378.1,384.13,378.1,382.91,342231.0,167.3,168.18,166.76,167.88,746249,82.25,82.59,82.015,82.56,2623576,142.6,142.95,141.85,142.42,10271774,65.42,65.98,65.36,65.71,12851700,146.81,148.29,146.53,148.05,3782038,107.63,110.0,107.4,109.41,11854379,44.45,44.745,44.37,44.67,6752844,34.19,34.44,34.15,34.345,13370527,105.45,105.96,105.16,105.29,728181.0,235.49,236.52,235.27,236.27,40604487,17.25,17.395,17.12,17.31,3963567,67.94,68.575,67.81,68.19,2797833,163.65,165.93,163.46,164.96,2390487.0
2017-03-31,120.64,121.85,120.47,121.54,1582156.0,108.56,109.1186,107.78,107.84,7098058,382.58,386.24,381.57,383.5,271479.0,167.59,168.165,167.13,167.7,1181895,82.27,82.93,82.19,82.5,2330711,142.31,142.63,141.89,142.05,8916044,65.65,66.19,65.45,65.87,15302983,148.0,148.225,147.33,147.82,3133488,109.01,109.89,108.4021,108.93,9583147,44.5,44.85,44.46,44.61,7012172,34.21,34.38,34.16,34.2,13417858,104.94,105.52,103.9385,105.09,851517.0,235.905,236.51,235.68,235.71,47583793,17.32,17.42,17.22,17.275,2097548,68.06,68.3,67.77,68.15,2649587,164.64,165.1,163.75,164.02,2201602.0
2017-04-03,121.43,121.9,120.45,121.2,1472810.0,108.85,109.47,107.52,108.11,6340882,383.83,385.2,378.16,382.14,331530.0,167.74,168.3,166.4,166.7,1122977,82.61,82.98,81.55,82.3,3151221,141.93,142.47,140.82,142.28,11107886,65.81,65.94,65.19,65.55,15349446,146.77,148.005,145.74,146.91,3626318,108.95,109.65,107.42,108.38,9475020,44.59,45.05,44.4,44.62,12247320,34.11,34.35,34.1,34.235,14254852,105.5,105.62,104.18,105.12,1013176.0,235.8,236.03,233.91,235.37,58627715,17.24,17.3,16.69,17.01,6778494,68.25,68.58,67.6,68.19,2611970,164.62,166.14,164.25,165.6,2612994.0
2017-04-04,120.91,121.59,120.51,120.75,1293022.0,107.87,108.26,106.88,107.46,5544653,378.97,381.989,378.97,380.75,264704.0,166.6,167.32,166.11,167.25,999801,82.74,83.125,82.53,82.97,3795572,141.86,142.09,141.27,141.72,10313290,65.39,65.81,65.28,65.73,10402128,146.84,147.09,144.89,145.49,3221719,103.4,104.42,100.34,100.78,26987837,44.61,44.74,44.38,44.57,7811961,34.18,34.5,34.05,34.33,17429059,105.08,105.29,104.53,104.79,997552.0,235.0,235.58,234.555,235.51,43130784,16.97,17.18,16.93,17.035,5225008,67.86,68.2874,67.69,68.25,1210994,165.87,166.45,164.79,164.99,2139596.0
