Date,VZ,MCD,Close,CLX,COST,PSX,BLK,TROW,JNJ,UNH,MMM,UPS,ACN,PPG,AMT,NEE
8/14/2017 16:00:00,48.78,135.7,53.22,135.57,157.91,83.88,428.06,83.84,133.48,193.71,207.37,113.69,129.69,102.56,139.97,148.06
8/15/2017 16:00:00,48.48,135.07,53.15,136.3,156.88,83.68,428.25,83.9,133.38,194.5,207.18,114.18,129.38,102.94,139.69,149.05
8/16/2017 16:00:00,48.41,135.04,53.5,136.94,159.76,83.03,427.07,84.14,134.17,193.77,207.92,114.76,130.03,103.74,141.09,149.98
8/17/2017 16:00:00,47.89,135.93,53.04,137.17,158.57,80.89,419.94,82.61,133.04,192.7,205.35,112.92,127.59,102.68,139.65,148.61
8/18/2017 16:00:00,47.69,136.16,52.7,137.73,157.08,81.56,416.55,82.3,132.63,190.82,203.53,113.34,127.44,102.08,140,149.93
8/21/2017 16:00:00,48.14,135.39,53.15,138.83,157.07,81.9,415.37,82.37,133.45,192.03,204.55,113.83,128.17,102.39,141.28,150.45
8/22/2017 16:00:00,48.35,135.6,54.45,139.04,158.7,82.23,421.37,83.61,134.7,194.79,205.46,114.6,129.31,104.54,142.09,150.84
8/23/2017 16:00:00,48.28,138.07,54.08,138.72,159.37,82.36,418.07,82.85,132.8,194.24,202.67,113.55,128.36,103.63,142.84,149.64
8/24/2017 16:00:00,48.31,138.06,53.94,136.98,151.33,83.87,415.94,82.46,132.89,194.75,202.12,113.35,128.67,103.71,143.8,149.31
8/25/2017 16:00:00,48.68,137.48,54.36,137.48,152.45,83.42,416.37,83.9,131.68,194.36,202.13,113.4,129.39,103.72,144.24,150.1
8/28/2017 16:00:00,48.61,138.46,54.4,137.5,152.55,83.65,414.34,84.14,131.74,195.09,202.46,113.79,129.24,104.15,145.78,150.88
8/29/2017 16:00:00,48.51,138.33,54.1,137.37,153.56,83.5,414.13,84.03,132.21,196.73,202.92,114.89,129.66,103.86,145.89,150.72
8/30/2017 16:00:00,48.12,138.47,54.52,137.35,154.44,83.6,416.2,83.82,131.07,195.88,203.69,114.97,129.79,103.81,147.52,150.62
8/31/2017 16:00:00,47.97,137.58,54.86,138.53,156.74,83.81,419.01,84.36,132.37,198.9,204.32,114.36,130.76,104.32,148.05,150.51
9/1/2017 16:00:00,47.92,137.44,54.93,137.98,158.24,84.43,421.78,84.28,131.03,199.75,203.56,114.39,130.1,104.59,145.77,150.16
9/5/2017 16:00:00,47.36,136.95,55.13,138.33,159.14,83.24,413.65,82.78,129.9,199.31,200.98,113.92,129.77,103.44,146.94,150.26
9/6/2017 16:00:00,46.91,137.98,54.31,136.37,158.86,83.36,412.19,82.78,130.67,198.38,202.05,113.81,131.12,104.2,146.07,148.25
9/7/2017 16:00:00,46.2,136.49,53.47,136.03,159.28,84.04,414.25,82.25,132.19,198.17,204.46,114.67,134.24,104.01,146.99,149.49
9/8/2017 16:00:00,46.11,136.65,53.49,134.04,157.31,84.7,415.95,82.13,130.98,197.75,205.69,115.05,133.72,103.59,144.99,148.26
9/11/2017 16:00:00,46.3,137.88,54.02,135.03,157.36,85.19,424.04,83.35,133.21,199.58,209.56,116.2,136.23,105.9,146.18,151.4
9/12/2017 16:00:00,46.79,138.71,53.54,135.57,160.04,85.73,428.57,84.86,132.63,197.47,209.64,117.15,136.22,106.69,144.83,149.13
9/13/2017 16:00:00,47.25,139.85,54.29,134.08,162.99,86.35,425.52,84.27,132.45,198.33,209.49,117.06,134.78,105.06,143.7,148.18
9/14/2017 16:00:00,47.18,139.87,54.53,134.74,162.37,86.24,425.69,84.27,134.18,197.73,211.43,117.38,134.86,106.48,142.85,149.55
9/15/2017 16:00:00,47.86,141.36,54.67,136.18,162.3,87.67,428.72,84.72,134.45,198.18,213.35,117.9,135.35,106.3,145.01,150.09
9/18/2017 16:00:00,48.09,142.19,54.69,136.81,160.91,88.31,429.44,85.35,135.38,198.19,213.76,117.59,136.94,106.8,144.77,148.3
9/19/2017 16:00:00,49.34,141.54,54.62,137.52,161.56,89.09,432.39,85.1,135.22,194.65,213.56,116.97,136.71,108.34,140.98,147.92
9/20/2017 16:00:00,49.48,143,55.15,135.37,162.85,89.07,434.07,85.72,133.22,195.75,210.51,117.83,138.01,108.81,140.4,146.74
9/21/2017 16:00:00,48.94,145.02,55.01,131.33,161.48,89.14,433.63,85.97,131.75,195.21,210.44,117.26,136.66,108.99,139.4,146.78
9/22/2017 16:00:00,49.9,145.25,55.09,129.83,161.29,89.89,435.49,86.69,131.39,193.03,210.76,117.67,137.9,108.76,137.78,146.36
9/25/2017 16:00:00,49.9,144.71,54.95,130.47,162.33,91.01,437.63,87.32,131.17,191.75,210.73,118.22,138.16,109.16,137.39,146.82
9/26/2017 16:00:00,49.51,145.95,55.13,131.3,164.07,91.35,434.4,86.56,130.94,192.7,211.03,118.92,136.84,108.51,136.42,147.7
9/27/2017 16:00:00,49.51,145.3,54.99,129.33,164.42,91.8,438.4,88.09,129.75,194.49,209.48,118.62,136.64,107.99,134.74,146.25
9/28/2017 16:00:00,49.41,144.91,54.5,130.03,163.9,91.79,446.11,90.13,129.47,196.1,209.55,119.61,136.32,108.85,136.1,146.99
9/29/2017 16:00:00,49.49,146.68,53.71,131.91,164.29,91.61,447.09,90.65,130.01,195.85,209.9,120.09,135.07,108.66,136.68,146.55
10/2/2017 16:00:00,49.36,147.95,53.81,129.48,165.89,92.38,449.95,90.68,131.22,197.44,212.76,120.79,135.44,111,135.86,146.74
10/3/2017 16:00:00,49.85,147.81,53.99,129.83,165.08,93.63,450.79,90.92,132.1,198.63,214.57,119.71,134.25,111.99,136.66,146.89
10/4/2017 16:00:00,49.9,147.13,53.93,131.29,165.21,93.43,457.91,91.41,132.89,200.48,216.52,119,135.16,112.26,138.84,148.57
10/5/2017 16:00:00,49.77,146.02,54.6,128.96,167.07,93.33,464.43,91.75,133.19,197.9,216.37,118.2,136.22,113.03,139.25,147.76
10/6/2017 16:00:00,48.81,146.92,55.17,129.14,157.09,92.82,463.22,91.72,133.22,198.06,216.52,117.7,136.25,113.28,139.11,147.47
10/9/2017 16:00:00,49.05,146.62,55.02,127.82,154.61,93.32,462.45,91.98,133.45,196.3,216.68,117.15,136.99,112.64,137.94,147.9
10/10/2017 16:00:00,49.14,146.85,55.42,129.22,156.87,93.47,465.49,92.18,133.9,194.68,216.75,118.12,137.52,112.38,137.09,149.03
10/11/2017 16:00:00,48.86,147.43,55.64,130.54,157.87,93.68,473.93,92.85,136.65,195.26,216.51,118.92,136.91,112.41,137.93,149.87
10/12/2017 16:00:00,48.35,147.16,55.97,130.73,157.22,94.34,480.59,94.46,136.83,192.92,217.59,119.57,139.2,113.4,140.03,150.7
10/13/2017 16:00:00,47.86,147.95,55.72,131.29,159.85,94.43,475.49,94.94,136.43,192.52,217.72,118.36,139.2,113.5,139.97,150.55
10/16/2017 16:00:00,48.09,148.73,54.91,131.81,158.81,90.87,477.96,94.82,136.12,193.2,218.72,118.34,139.09,113.17,139.59,151.52
10/17/2017 16:00:00,48.4,149.6,54.51,131.87,158.38,90.63,475.55,94.73,140.79,203.89,217.75,117.68,138.65,112.96,139.13,152.67
10/18/2017 16:00:00,48.65,147.8,55.21,130.96,157.55,90.24,477.5,95.76,140.68,205.23,218.27,118.15,137.42,112.88,137.48,152.54
